nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
303050,,303096.0,303077.0,,,,,11.0,11.0,,,,79.0,2.0
303052,303053.0,403111.0,403095.0,403134.0,,,1.0,12.0,12.0,12.0,,,74.0,1.0
303053,303052.0,403254.0,303081.0,403009.0,,,1.0,12.0,12.0,12.0,,,66.0,2.0
303056,303057.0,303038.0,,,,,1.0,9.0,,,,,82.0,1.0
303057,303056.0,303093.0,303038.0,303074.0,303071.0,303016.0,1.0,10.0,9.0,10.0,10.0,10.0,82.0,2.0
303060,,303096.0,,,,,,,,,,,78.0,2.0
303061,,303147.0,,,,,,5.0,,,,,80.0,2.0
303062,303063.0,400250.0,400251.0,303018.0,303160.0,,1.0,5.0,10.0,10.0,10.0,,83.0,2.0
303063,303062.0,303022.0,403250.0,403251.0,400250.0,403248.0,1.0,10.0,5.0,5.0,5.0,5.0,87.0,1.0
303110,,,,,,,,,,,,,76.0,2.0
303111,,303175.0,,,,,,10.0,,,,,68.0,2.0
303069,303070.0,,,,,,1.0,,,,,,69.0,1.0
303070,303069.0,,,,,,1.0,,,,,,63.0,2.0
303071,,400272.0,400273.0,400274.0,,,,5.0,5.0,5.0,,,68.0,2.0
303073,303074.0,400275.0,,,,,1.0,5.0,,,,,79.0,1.0
303074,303073.0,303071.0,303007.0,303057.0,303016.0,,1.0,10.0,11.0,11.0,11.0,,75.0,2.0
303075,303076.0,400277.0,400005.0,400278.0,,,1.0,11.0,11.0,11.0,,,69.0,2.0
303076,303075.0,303073.0,303163.0,,,,1.0,10.0,10.0,,,,71.0,1.0
303077,303078.0,403309.0,303096.0,303050.0,402138.0,403260.0,1.0,5.0,10.0,10.0,6.0,6.0,76.0,2.0
303078,303077.0,303073.0,303025.0,303149.0,403310.0,307002.0,1.0,10.0,10.0,10.0,9.0,9.0,79.0,1.0
303079,303080.0,403141.0,403137.0,,,,1.0,5.0,5.0,,,,71.0,1.0
